0:00:00.000	8	W
0:00:06.666	20	W
0:00:23.333	36	W
0:00:53.333	28	S
0:01:16.666	2	W
0:01:18.333	6	W
0:01:19.166	4	W
0:01:19.375	2	W
0:01:20.000	24	S
0:01:40.000	4	W
0:01:43.333	8	W
0:01:46.666	28	S
0:02:10.000	4	S
0:02:13.333	28	S
0:02:36.666	4	S
0:02:40.000	8	W
0:02:46.666	4	W
0:02:50.000	4	S
0:02:53.333	28	S
0:03:16.666	8	S
0:03:20.000	16	S
0:03:33.333	12	S
0:03:43.333	4	W
0:03:46.666	16	S
0:04:00.000	12	S
0:04:10.000	2	W
0:04:11.666	4	W
0:04:13.333	16	S
0:04:26.666	4	S
0:04:30.000	8	W
0:04:36.666	2	W
0:04:38.333	4	W
0:04:40.000	8	S
0:04:46.666	16	S
0:05:00.000	4	S
0:05:03.333	6	W
0:05:04.583	10	W
0:05:06.666	28	S
0:05:30.000	8	S
0:05:33.333	16	S
0:05:46.666	16	S
0:05:59.984	16	W
0:06:13.000	14	S
0:06:24.200	4	W
0:06:25.800	16	S
0:06:38.600	32	S
0:07:04.200	32	S
0:07:29.800	32	S
0:07:55.400	32	S
0:08:21.000	8	W
0:08:27.400	8	W
0:08:33.800	12	W
0:08:43.400	2	W
0:08:45.000	4	W
0:08:46.600	32	W
0:09:12.200	16	S
0:09:25.000	16	S
0:09:37.800	16	S
0:09:50.600	12	S
0:10:00.200	4	W
0:10:29.000	32	S
0:10:54.600	8	S
0:11:07.400	8	S
0:11:20.200	16	W
0:11:33.000	16	W
0:11:45.800	32	W
0:12:11.400
