0:00:02.448	62	W	
0:00:40.408	32	S
0:00:41.632	64	W
0:01:20.816	44	S	
0:01:47.755	8	W
0:01:48.979	16	S
0:01:50.204	32	S
0:02:09.795	28	S
0:02:26.938	8	S
0:02:29.387	36	S
0:02:48.979	16	S
0:02:58.775	28	W
0:03:15.918	32	S
0:03:18.367	32	S
0:03:37.959	48	S
0:04:07.346	8	S
0:04:12.244	32	W
0:04:17.142	32	S
0:04:36.734	64	S
0:05:15.918	36	W
0:05:37.863	64	W
0:06:16.277	64	W
0:06:35.467	128	W
0:07:13.848	16	W
0:07:18.646	24	W
0:07:33.038	128	W
0:07:52.229	16	S	
0:08:11.419	64	W
0:08:30.610	32	S
0:08:49.800	32	W
0:09:08.990	32	W
0:09:28.181	8	W
0:09:37.776	16	W
0:09:47.371	64	W
0:10:06.562	32	W
0:10:25.752	16	S
0:10:44.942	16	S
0:11:04.133	16	S
0:11:23.323	32	S
0:11:42.514	28	W
0:11:59.305
